|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|       1 |           1 |       00:01:44 |       10.94% |       2.7445 |          0.0010 |
|       2 |           2 |       00:03:48 |       10.16% |       2.3564 |          0.0010 |
|       3 |           3 |       00:05:30 |       28.12% |       2.0322 |          0.0010 |
|       4 |           4 |       00:07:07 |       28.91% |       1.9715 |          0.0010 |
|       5 |           5 |       00:08:48 |       35.94% |       2.0027 |          0.0010 |
|       6 |           6 |       00:10:46 |       31.25% |       1.9875 |          0.0010 |
|       7 |           7 |       00:12:28 |       30.47% |       1.9304 |          0.0010 |
|       8 |           8 |       00:14:05 |       33.59% |       1.8785 |          0.0010 |
|       9 |           9 |       00:15:54 |       28.91% |       1.8752 |          0.0010 |
|      10 |          10 |       00:17:34 |       32.81% |       1.7833 |          0.0010 |
|      11 |          11 |       00:19:10 |       42.19% |       1.7620 |          0.0010 |
|      12 |          12 |       00:21:01 |       45.31% |       1.7011 |          0.0010 |
|      13 |          13 |       00:22:32 |       40.62% |       1.6506 |          0.0010 |
|      14 |          14 |       00:24:08 |       39.06% |       1.5505 |          0.0010 |
|      15 |          15 |       00:25:45 |       49.22% |       1.4775 |          0.0010 |
|      16 |          16 |       00:27:19 |       48.44% |       1.5448 |          0.0010 |
|      17 |          17 |       00:28:54 |       52.34% |       1.4384 |          0.0010 |
|      18 |          18 |       00:30:40 |       53.91% |       1.3429 |          0.0010 |
|      19 |          19 |       00:32:18 |       56.25% |       1.3309 |          0.0010 |
|      20 |          20 |       00:33:57 |       56.25% |       1.2426 |          0.0010 |
|      21 |          21 |       00:35:37 |       59.38% |       1.1775 |          0.0010 |
|      22 |          22 |       00:37:29 |       58.59% |       1.1194 |          0.0010 |
|      23 |          23 |       00:39:10 |       61.72% |       1.0825 |          0.0010 |
|      24 |          24 |       00:40:48 |       64.84% |       1.0550 |          0.0010 |
|      25 |          25 |       00:42:25 |       65.62% |       0.9971 |          0.0010 |
|      26 |          26 |       00:44:24 |       64.84% |       0.9380 |          0.0010 |
|      27 |          27 |       00:45:56 |       69.53% |       0.8792 |          0.0010 |
|      28 |          28 |       00:47:30 |       74.22% |       0.8252 |          0.0010 |
|      29 |          29 |       00:49:03 |       75.00% |       0.7698 |          0.0010 |
|      30 |          30 |       00:50:39 |       78.12% |       0.7329 |          0.0010 |
|      31 |          31 |       00:52:09 |       81.25% |       0.7083 |          0.0010 |
|      32 |          32 |       00:53:55 |       77.34% |       0.6855 |          0.0010 |
|      33 |          33 |       00:55:35 |       83.59% |       0.6708 |          0.0010 |
|      34 |          34 |       00:57:09 |       85.94% |       0.6332 |          0.0010 |
|      35 |          35 |       00:58:44 |       87.50% |       0.6099 |          0.0010 |
|      36 |          36 |       01:00:28 |       90.62% |       0.5761 |          0.0010 |
|      37 |          37 |       01:02:05 |       91.41% |       0.5368 |          0.0010 |
|      38 |          38 |       01:03:37 |       93.75% |       0.4865 |          0.0010 |
|      39 |          39 |       01:05:12 |       94.53% |       0.4476 |          0.0010 |
|      40 |          40 |       01:07:05 |       96.88% |       0.3962 |          0.0010 |
|      41 |          41 |       01:08:45 |       96.88% |       0.3533 |          0.0010 |
|      42 |          42 |       01:10:21 |       98.44% |       0.3196 |          0.0010 |
|      43 |          43 |       01:11:59 |       99.22% |       0.2711 |          0.0010 |
|      44 |          44 |       01:13:32 |       98.44% |       0.2372 |          0.0010 |
|      45 |          45 |       01:15:03 |       99.22% |       0.2027 |          0.0010 |
|      46 |          46 |       01:16:38 |      100.00% |       0.1706 |          0.0010 |
|      47 |          47 |       01:18:09 |      100.00% |       0.1406 |          0.0010 |
|      48 |          48 |       01:19:45 |      100.00% |       0.1165 |          0.0010 |
|      49 |          49 |       01:21:31 |      100.00% |       0.0939 |          0.0010 |
|      50 |          50 |       01:22:58 |      100.00% |       0.0772 |          0.0010 |
|      51 |          51 |       01:24:30 |      100.00% |       0.0625 |          0.0010 |
|      52 |          52 |       01:26:05 |      100.00% |       0.0517 |          0.0010 |
|      53 |          53 |       01:27:40 |      100.00% |       0.0427 |          0.0010 |
|      54 |          54 |       01:29:30 |      100.00% |       0.0362 |          0.0010 |
|      55 |          55 |       01:31:23 |      100.00% |       0.0306 |          0.0010 |
|      56 |          56 |       01:33:01 |      100.00% |       0.0260 |          0.0010 |
|      57 |          57 |       01:34:38 |      100.00% |       0.0222 |          0.0010 |
|      58 |          58 |       01:36:18 |      100.00% |       0.0192 |          0.0010 |
|      59 |          59 |       01:37:46 |      100.00% |       0.0167 |          0.0010 |
|      60 |          60 |       01:39:25 |      100.00% |       0.0145 |          0.0010 |
|      61 |          61 |       01:41:02 |      100.00% |       0.0127 |          0.0010 |
|      62 |          62 |       01:42:37 |      100.00% |       0.0113 |          0.0010 |
|      63 |          63 |       01:44:14 |      100.00% |       0.0101 |          0.0010 |
|      64 |          64 |       01:45:53 |      100.00% |       0.0090 |          0.0010 |
|      65 |          65 |       01:47:27 |      100.00% |       0.0082 |          0.0010 |
|      66 |          66 |       01:49:01 |      100.00% |       0.0074 |          0.0010 |
|      67 |          67 |       01:50:34 |      100.00% |       0.0068 |          0.0010 |
|      68 |          68 |       01:52:12 |      100.00% |       0.0062 |          0.0010 |
|      69 |          69 |       01:53:44 |      100.00% |       0.0057 |          0.0010 |
|      70 |          70 |       01:55:22 |      100.00% |       0.0053 |          0.0010 |
|      71 |          71 |       01:57:00 |      100.00% |       0.0049 |          0.0010 |
|      72 |          72 |       01:58:37 |      100.00% |       0.0046 |          0.0010 |
|      73 |          73 |       02:00:12 |      100.00% |       0.0042 |          0.0010 |
|      74 |          74 |       02:01:52 |      100.00% |       0.0040 |          0.0010 |
|      75 |          75 |       02:03:33 |      100.00% |       0.0037 |          0.0010 |
|      76 |          76 |       02:05:14 |      100.00% |       0.0035 |          0.0010 |
|      77 |          77 |       02:07:04 |      100.00% |       0.0033 |          0.0010 |
|      78 |          78 |       02:08:43 |      100.00% |       0.0031 |          0.0010 |
|      79 |          79 |       02:10:28 |      100.00% |       0.0030 |          0.0010 |
|      80 |          80 |       02:12:03 |      100.00% |       0.0028 |          0.0010 |
|      81 |          81 |       02:13:43 |      100.00% |       0.0027 |          0.0010 |
|      82 |          82 |       02:15:17 |      100.00% |       0.0026 |          0.0010 |
|      83 |          83 |       02:16:48 |      100.00% |       0.0025 |          0.0010 |
|      84 |          84 |       02:18:39 |      100.00% |       0.0024 |          0.0010 |
|      85 |          85 |       02:20:15 |      100.00% |       0.0023 |          0.0010 |
|      86 |          86 |       02:21:52 |      100.00% |       0.0022 |          0.0010 |
|      87 |          87 |       02:23:26 |      100.00% |       0.0021 |          0.0010 |
|      88 |          88 |       02:25:02 |      100.00% |       0.0021 |          0.0010 |
|      89 |          89 |       02:26:37 |      100.00% |       0.0020 |          0.0010 |
|      90 |          90 |       02:28:11 |      100.00% |       0.0019 |          0.0010 |
|      91 |          91 |       02:29:50 |      100.00% |       0.0019 |          0.0010 |
|      92 |          92 |       02:31:34 |      100.00% |       0.0018 |          0.0010 |
|      93 |          93 |       02:33:15 |      100.00% |       0.0018 |          0.0010 |
|      94 |          94 |       02:34:58 |      100.00% |       0.0017 |          0.0010 |
|      95 |          95 |       02:36:38 |      100.00% |       0.0017 |          0.0010 |
|      96 |          96 |       02:38:21 |      100.00% |       0.0016 |          0.0010 |
|      97 |          97 |       02:40:01 |      100.00% |       0.0016 |          0.0010 |
|      98 |          98 |       02:41:41 |      100.00% |       0.0016 |          0.0010 |
|      99 |          99 |       02:43:19 |      100.00% |       0.0015 |          0.0010 |
|     100 |         100 |       02:45:03 |      100.00% |       0.0015 |          0.0010 |
|     101 |         101 |       02:46:45 |      100.00% |       0.0015 |          0.0010 |
|     102 |         102 |       02:48:25 |      100.00% |       0.0014 |          0.0010 |
|     103 |         103 |       02:49:59 |      100.00% |       0.0014 |          0.0010 |
|     104 |         104 |       02:51:39 |      100.00% |       0.0014 |          0.0010 |
|     105 |         105 |       02:53:16 |      100.00% |       0.0014 |          0.0010 |
|     106 |         106 |       02:54:55 |      100.00% |       0.0013 |          0.0010 |
|     107 |         107 |       02:56:36 |      100.00% |       0.0013 |          0.0010 |
|     108 |         108 |       02:58:20 |      100.00% |       0.0013 |          0.0010 |
|     109 |         109 |       02:59:59 |      100.00% |       0.0013 |          0.0010 |
|     110 |         110 |       03:01:42 |      100.00% |       0.0013 |          0.0010 |
|     111 |         111 |       03:03:29 |      100.00% |       0.0012 |          0.0010 |
|     112 |         112 |       03:05:12 |      100.00% |       0.0012 |          0.0010 |
