

|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|       1 |           1 |       00:00:24 |       14.06% |       2.2750 |          0.0010 |
|       2 |           2 |       00:00:43 |       14.84% |       2.2241 |          0.0010 |
|       3 |           3 |       00:01:01 |       17.19% |       2.1144 |          0.0010 |
|       4 |           4 |       00:01:19 |       18.75% |       2.0004 |          0.0010 |
|       5 |           5 |       00:01:38 |       12.50% |       2.0092 |          0.0010 |
|       6 |           6 |       00:01:56 |       20.31% |       1.9924 |          0.0010 |
|       7 |           7 |       00:02:13 |       25.00% |       1.8956 |          0.0010 |
|       8 |           8 |       00:02:32 |       19.53% |       1.9626 |          0.0010 |
|       9 |           9 |       00:02:51 |       23.44% |       1.9144 |          0.0010 |
|      10 |          10 |       00:03:10 |       27.34% |       1.8924 |          0.0010 |
|      11 |          11 |       00:03:28 |       28.91% |       1.8535 |          0.0010 |
|      12 |          12 |       00:03:46 |       23.44% |       1.8476 |          0.0010 |
|      13 |          13 |       00:04:03 |       23.44% |       1.8423 |          0.0010 |
|      14 |          14 |       00:04:20 |       29.69% |       1.7788 |          0.0010 |
|      15 |          15 |       00:04:39 |       25.78% |       1.7967 |          0.0010 |
|      16 |          16 |       00:04:57 |       30.47% |       1.7215 |          0.0010 |
|      17 |          17 |       00:05:15 |       33.59% |       1.7272 |          0.0010 |
|      18 |          18 |       00:05:32 |       26.56% |       1.7020 |          0.0010 |
|      19 |          19 |       00:05:50 |       32.03% |       1.7127 |          0.0010 |
|      20 |          20 |       00:06:08 |       36.72% |       1.6498 |          0.0010 |
|      21 |          21 |       00:06:27 |       40.62% |       1.5873 |          0.0010 |
|      22 |          22 |       00:06:45 |       35.16% |       1.6372 |          0.0010 |
|      23 |          23 |       00:07:03 |       40.62% |       1.5169 |          0.0010 |
|      24 |          24 |       00:07:21 |       41.41% |       1.5176 |          0.0010 |
|      25 |          25 |       00:07:39 |       40.62% |       1.4840 |          0.0010 |
|      26 |          26 |       00:07:58 |       42.97% |       1.4875 |          0.0010 |
|      27 |          27 |       00:08:17 |       46.88% |       1.4240 |          0.0010 |
|      28 |          28 |       00:08:36 |       42.97% |       1.4289 |          0.0010 |
|      29 |          29 |       00:08:56 |       50.78% |       1.3604 |          0.0010 |
|      30 |          30 |       00:09:16 |       46.88% |       1.3326 |          0.0010 |
|      31 |          31 |       00:09:36 |       49.22% |       1.2875 |          0.0010 |
|      32 |          32 |       00:09:56 |       60.16% |       1.2338 |          0.0010 |
|      33 |          33 |       00:10:16 |       55.47% |       1.2064 |          0.0010 |
|      34 |          34 |       00:10:36 |       57.03% |       1.1464 |          0.0010 |
|      35 |          35 |       00:10:56 |       57.03% |       1.1591 |          0.0010 |
|      36 |          36 |       00:11:15 |       70.31% |       1.0459 |          0.0010 |
|      37 |          37 |       00:11:34 |       60.94% |       1.0735 |          0.0010 |
|      38 |          38 |       00:11:54 |       64.06% |       1.0304 |          0.0010 |
|      39 |          39 |       00:12:13 |       64.84% |       1.0416 |          0.0010 |
|      40 |          40 |       00:12:30 |       70.31% |       0.8981 |          0.0010 |
|      41 |          41 |       00:12:49 |       75.78% |       0.8308 |          0.0010 |
|      42 |          42 |       00:13:08 |       69.53% |       0.9246 |          0.0010 |
|      43 |          43 |       00:13:27 |       74.22% |       0.7741 |          0.0010 |
|      44 |          44 |       00:13:46 |       85.16% |       0.7123 |          0.0010 |
|      45 |          45 |       00:14:06 |       75.78% |       0.7631 |          0.0010 |
|      46 |          46 |       00:14:26 |       79.69% |       0.6645 |          0.0010 |
|      47 |          47 |       00:14:45 |       77.34% |       0.6907 |          0.0010 |
|      48 |          48 |       00:15:03 |       80.47% |       0.5754 |          0.0010 |
|      49 |          49 |       00:15:21 |       79.69% |       0.5811 |          0.0010 |
|      50 |          50 |       00:15:40 |       82.03% |       0.5426 |          0.0010 |
|      51 |          51 |       00:15:59 |       77.34% |       0.5206 |          0.0010 |
|      52 |          52 |       00:16:18 |       74.22% |       0.5558 |          0.0010 |
|      53 |          53 |       00:16:37 |       82.03% |       0.4835 |          0.0010 |
|      54 |          54 |       00:16:56 |       85.94% |       0.4325 |          0.0010 |
|      55 |          55 |       00:17:14 |       84.38% |       0.4029 |          0.0010 |
|      56 |          56 |       00:17:33 |       79.69% |       0.4496 |          0.0010 |
|      57 |          57 |       00:17:52 |       90.62% |       0.3444 |          0.0010 |
|      58 |          58 |       00:18:10 |       90.62% |       0.3320 |          0.0010 |
|      59 |          59 |       00:18:28 |       85.16% |       0.4257 |          0.0010 |
|      60 |          60 |       00:18:45 |       85.16% |       0.3734 |          0.0010 |
|      61 |          61 |       00:19:04 |       91.41% |       0.2841 |          0.0010 |
|      62 |          62 |       00:19:22 |       92.19% |       0.3363 |          0.0010 |
|      63 |          63 |       00:19:41 |       93.75% |       0.2525 |          0.0010 |
