|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|       1 |           1 |       00:01:41 |        7.81% |       2.7231 |          0.0010 |
|       2 |           2 |       00:03:28 |       11.72% |       2.3858 |          0.0010 |
|       3 |           3 |       00:05:23 |       12.50% |       2.1304 |          0.0010 |
|       4 |           4 |       00:07:04 |       22.66% |       1.9998 |          0.0010 |
|       5 |           5 |       00:08:45 |       29.69% |       1.9051 |          0.0010 |
|       6 |           6 |       00:10:52 |       36.72% |       1.7964 |          0.0010 |
|       7 |           7 |       00:12:48 |       31.25% |       1.7389 |          0.0010 |
|       8 |           8 |       00:14:27 |       26.56% |       1.7582 |          0.0010 |
|       9 |           9 |       00:16:05 |       29.69% |       1.7200 |          0.0010 |
|      10 |          10 |       00:17:42 |       28.91% |       1.7689 |          0.0010 |
|      11 |          11 |       00:19:44 |       39.06% |       1.6665 |          0.0010 |
|      12 |          12 |       00:21:40 |       48.44% |       1.6008 |          0.0010 |
|      13 |          13 |       00:23:25 |       39.84% |       1.5754 |          0.0010 |
|      14 |          14 |       00:25:03 |       42.19% |       1.5175 |          0.0010 |
|      15 |          15 |       00:26:51 |       41.41% |       1.4330 |          0.0010 |
|      16 |          16 |       00:33:11 |       36.72% |       1.3816 |          0.0010 |
|      17 |          17 |       00:35:10 |       46.09% |       1.3540 |          0.0010 |
|      18 |          18 |       00:36:59 |       45.31% |       1.3658 |          0.0010 |
|      19 |          19 |       00:38:43 |       47.66% |       1.3232 |          0.0010 |
|      20 |          20 |       00:40:25 |       47.66% |       1.3277 |          0.0010 |
|      21 |          21 |       00:42:28 |       50.00% |       1.2988 |          0.0010 |
|      22 |          22 |       00:44:14 |       59.38% |       1.2252 |          0.0010 |
|      23 |          23 |       00:45:57 |       60.16% |       1.1680 |          0.0010 |
|      24 |          24 |       00:47:42 |       64.84% |       1.0859 |          0.0010 |
|      25 |          25 |       00:49:26 |       64.84% |       1.0705 |          0.0010 |
|      26 |          26 |       00:51:16 |       64.84% |       1.0642 |          0.0010 |
|      27 |          27 |       00:53:05 |       64.84% |       1.0078 |          0.0010 |
|      28 |          28 |       00:54:52 |       64.06% |       1.0261 |          0.0010 |
|      29 |          29 |       00:56:42 |       63.28% |       0.9679 |          0.0010 |
|      30 |          30 |       00:58:31 |       68.75% |       0.9297 |          0.0010 |
|      31 |          31 |       01:00:13 |       67.97% |       0.8634 |          0.0010 |
|      32 |          32 |       01:01:52 |       73.44% |       0.8039 |          0.0010 |
|      33 |          33 |       01:03:31 |       78.12% |       0.7788 |          0.0010 |
|      34 |          34 |       01:05:17 |       76.56% |       0.7605 |          0.0010 |
|      35 |          35 |       01:06:57 |       74.22% |       0.7414 |          0.0010 |
|      36 |          36 |       01:08:32 |       78.91% |       0.6899 |          0.0010 |
|      37 |          37 |       01:10:11 |       80.47% |       0.6680 |          0.0010 |
|      38 |          38 |       01:11:57 |       82.81% |       0.6054 |          0.0010 |
|      39 |          39 |       01:13:42 |       86.72% |       0.5690 |          0.0010 |
|      40 |          40 |       01:15:48 |       86.72% |       0.5338 |          0.0010 |
|      41 |          41 |       01:17:36 |       87.50% |       0.5210 |          0.0010 |
|      42 |          42 |       01:19:32 |       91.41% |       0.4787 |          0.0010 |
|      43 |          43 |       01:21:13 |       89.84% |       0.4596 |          0.0010 |
|      44 |          44 |       01:23:03 |       92.97% |       0.4255 |          0.0010 |
|      45 |          45 |       01:24:43 |       92.97% |       0.3940 |          0.0010 |
|      46 |          46 |       01:26:24 |       94.53% |       0.3529 |          0.0010 |
|      47 |          47 |       01:28:08 |       94.53% |       0.3249 |          0.0010 |
|      48 |          48 |       01:31:15 |       96.09% |       0.2875 |          0.0010 |
|      49 |          49 |       01:32:59 |       96.88% |       0.2512 |          0.0010 |
|      50 |          50 |       01:34:44 |       96.88% |       0.2217 |          0.0010 |
|      51 |          51 |       01:36:28 |       98.44% |       0.1944 |          0.0010 |
|      52 |          52 |       01:38:00 |       99.22% |       0.1721 |          0.0010 |
|      53 |          53 |       01:39:31 |      100.00% |       0.1452 |          0.0010 |
|      54 |          54 |       01:41:08 |      100.00% |       0.1198 |          0.0010 |
|      55 |          55 |       01:42:41 |      100.00% |       0.1050 |          0.0010 |
|      56 |          56 |       01:44:07 |      100.00% |       0.0862 |          0.0010 |
|      57 |          57 |       01:45:46 |      100.00% |       0.0718 |          0.0010 |
|      58 |          58 |       01:47:24 |      100.00% |       0.0594 |          0.0010 |
|      59 |          59 |       01:49:04 |      100.00% |       0.0495 |          0.0010 |
|      60 |          60 |       01:50:49 |      100.00% |       0.0415 |          0.0010 |
|      61 |          61 |       01:52:31 |      100.00% |       0.0351 |          0.0010 |
|      62 |          62 |       01:54:07 |      100.00% |       0.0300 |          0.0010 |
